@relation horse-colic
@attribute f1 real [-2.80861, 1.22289]
@attribute f2 real [-0.294392, 3.38551]
@attribute f3 real [-1.99484, 0.670666]
@attribute f4 real [-1.9631, 3.49656]
@attribute f5 real [-1.23356, 3.59277]
@attribute f6 real [-1.45313, 1.59007]
@attribute f7 real [-1.24405, 1.95952]
@attribute f8 real [-1.32638, 1.98039]
@attribute f9 real [-1.92639, 3.02719]
@attribute f10 real [-1.46553, 1.57499]
@attribute f11 real [-1.81465, 1.10045]
@attribute f12 real [-1.41192, 1.65192]
@attribute f13 real [-1.16123, 1.87687]
@attribute f14 real [-1.02706, 1.98386]
@attribute f15 real [-0.420183, 3.36904]
@attribute f16 real [-1.09882, 1.31617]
@attribute f17 real [-1.04315, 1.28531]
@attribute f18 real [-2.47368, 1.96262]
@attribute f19 real [-0.805446, 2.48788]
@attribute f20 real [-0.797617, 1.81277]
@attribute f21 real [-0.559929, 4.94846]
@attribute f22 real [-2.08618, 1.96029]
@attribute f23 real [-0.677446, 6.9362]
@attribute f24 real [-0.138902, 10.8084]
@attribute f25 real [-1.42251, 0.700639]
@attribute clase {0, 1}
@inputs f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25
@outputs clase
@data
1.22289, -0.294392, 0.520404, -0.00474753, 0.174117, 0.829273, 1.15862, -1.32638, 1.376, 1.57499, 1.10045, 1.65192, -1.16123, -1.02706, -0.420183, 0.712421, 1.28531, 0.188099, -0.494616, -0.797617, -0.559929, 0.611467, 1.41533, -0.138902, 0.700639, 1
1.22289, -0.294392, 0.442007, 1.12279, 0.526036, -1.45313, -1.24405, 1.98039, 1.376, -1.46553, -1.81465, -1.41192, -1.16123, -1.02706, -0.420183, -1.09882, -1.04315, 1.90347, -0.531619, -0.797617, -0.559929, 0.611467, 0.118922, -0.138902, 0.700639, 1
1.22289, 3.38551, 0.507338, 0.707382, -1.23356, -0.692329, -1.24405, -0.775254, -0.275199, 1.57499, 0.371675, -0.645958, 0.864172, -0.0234182, -0.420183, 0.712421, -1.04315, -0.107654, -0.576024, 0.0725106, 0.639919, -0.737357, -0.677446, -0.138902, -1.42251, 1
1.22289, -0.294392, 0.559603, 0.173285, 1.3807, 0.0684721, -1.24405, -0.224126, -0.275199, -0.249322, -1.08587, 0.12, -0.14853, -0.0234182, -0.420183, 1.31617, 0.819616, 0.483853, -0.516818, -0.797617, -0.559929, -0.737357, -0.286485, -0.138902, 0.700639, 0
-0.79286, -0.294392, 0.435474, -0.716877, -0.630272, 0.0684721, -0.443161, -0.775254, -0.275199, 0.35878, 0.371675, 0.885959, 1.87687, -0.0234182, -0.420183, 1.31617, 1.28531, -2.47368, -0.546421, -0.797617, -0.559929, -0.737357, 0.0863263, -0.138902, 0.700639, 1
-0.79286, 3.38551, -1.99484, 1.83492, 0.576311, 0.829273, 1.15862, 0.878131, 1.376, 0.966883, 1.10045, 0.885959, 1.87687, -1.02706, -0.420183, 1.31617, 1.28531, 0.661305, -0.516818, 1.81277, 2.00338, 0.611467, -0.418164, -0.138902, -1.42251, 1
1.22289, -0.294392, 0.455074, -0.538845, -0.0269805, -1.45313, -1.24405, -1.32638, -1.92639, -1.46553, -1.81465, -1.41192, -1.16123, -1.02706, -0.420183, -1.09882, -1.04315, -2.47368, -0.805446, -0.797617, -0.559929, -0.737357, -0.677446, -0.138902, 0.700639, 1
-0.79286, -0.294392, 0.611868, 0.173285, 1.78289, -0.692329, -0.443161, 1.42926, 1.376, 1.57499, 1.10045, 1.65192, 1.87687, -0.0234182, -0.420183, 1.31617, 0.819616, 0.24725, -0.579724, 0.942638, -0.559929, -0.737357, -0.286485, -0.138902, 0.700639, 0
1.22289, -0.294392, 0.513871, -0.538845, -0.429175, -0.692329, -1.24405, -0.775254, -0.275199, -0.857425, 0.371675, -0.645958, 0.864172, 1.98386, 2.35858, 1.31617, 0.353925, 0.424702, -0.553821, -0.797617, -0.559929, -0.737357, -0.677446, -0.138902, 0.700639, 1
-0.79286, -0.294392, 0.494272, -0.18278, -0.630272, 0.829273, 1.15862, 0.327003, -0.275199, -1.46553, 1.10045, 0.885959, 1.87687, 0.980219, 0.590276, -1.09882, -1.04315, 0.543003, 1.59979, -0.797617, -0.559929, -0.737357, -0.101283, -0.138902, 0.700639, 0
-0.79286, -0.294392, 0.474673, -0.538845, -0.630272, 0.829273, -0.443161, -0.775254, -0.275199, -1.46553, 0.371675, 0.12, -0.14853, -0.0234182, -0.420183, -0.495072, 0.353925, -0.285106, -0.601926, 0.942638, 0.149072, -0.737357, 0.0859559, -0.138902, -1.42251, 1
-0.79286, -0.294392, 0.500805, -0.0640917, 0.174117, -0.692329, -0.443161, -0.775254, -0.275199, 0.35878, -1.08587, -1.41192, -1.16123, -1.02706, -0.420183, 1.31617, 0.819616, 0.424702, -0.487215, 0.942638, 3.03962, -0.737357, -0.26852, -0.138902, -1.42251, 0
